PayingCode, PayingDescription, ReceivingCode, ReceivingDescription, TransferCode, TransferDescription, Value
1,111 -  Crop Production,1,111 -  Crop Production,15055,Industry Use,350003675.26807207
1,111 -  Crop Production,2,112 -  Animal Production and Aquaculture,15055,Industry Use,20004130.94245782
1,111 -  Crop Production,3,113 -  Forestry and Logging,15055,Industry Use,26271.042314882237
1,111 -  Crop Production,5,115 -  Support Activities for Agriculture and Forestry,15055,Industry Use,1071426862.111584
1,111 -  Crop Production,6,211 -  Oil and Gas Extraction,15055,Industry Use,4173471.2647705856
1,111 -  Crop Production,7,212 -  Mining (except Oil and Gas),15055,Industry Use,9474926.293711878
1,111 -  Crop Production,8,213 -  Support Activities for Mining,15055,Industry Use,3959.069477204346
1,111 -  Crop Production,9,221 -  Utilities,15055,Industry Use,142837478.59415773
1,111 -  Crop Production,10,23 -  Construction,15055,Industry Use,46657717.76635113
1,111 -  Crop Production,11,311 -  Food Manufacturing,15055,Industry Use,261125.34975840934
1,111 -  Crop Production,12,312 -  Beverage and Tobacco Product Manufacturing,15055,Industry Use,427.6312645669779
1,111 -  Crop Production,13,313 -  Textile Mills,15055,Industry Use,113709.51618631926
1,111 -  Crop Production,14,314 -  Textile Product Mills,15055,Industry Use,518399.2441994019
1,111 -  Crop Production,15,315 -  Apparel Manufacturing,15055,Industry Use,6789.933511281271
1,111 -  Crop Production,16,316 -  Leather and Allied Product Manufacturing,15055,Industry Use,29273.470650394105
1,111 -  Crop Production,17,321 -  Wood Product Manufacturing,15055,Industry Use,3823068.572937377
1,111 -  Crop Production,18,322 -  Paper Manufacturing,15055,Industry Use,2676502.4184526405
1,111 -  Crop Production,19,323 -  Printing and Related Support Activities,15055,Industry Use,302363.87030102
1,111 -  Crop Production,20,324 -  Petroleum and Coal Products Manufacturing,15055,Industry Use,308461341.67428374
1,111 -  Crop Production,21,325 -  Chemical Manufacturing,15055,Industry Use,234616207.75383356
1,111 -  Crop Production,22,326 -  Plastics and Rubber Products Manufacturing,15055,Industry Use,33384032.96352848
1,111 -  Crop Production,23,327 -  Nonmetallic Mineral Product Manufacturing,15055,Industry Use,5965279.486923324
1,111 -  Crop Production,24,331 -  Primary Metal Manufacturing,15055,Industry Use,628288.8088687392
1,111 -  Crop Production,25,332 -  Fabricated Metal Product Manufacturing,15055,Industry Use,7106895.962693343
1,111 -  Crop Production,26,333 -  Machinery Manufacturing,15055,Industry Use,2629149.558754628
1,111 -  Crop Production,27,334 -  Computer and Electronic Product Manufacturing,15055,Industry Use,1218730.104459591
1,111 -  Crop Production,28,"335 -  Electrical Equipment, Appliance, and Component Manufacturing",15055,Industry Use,8761353.161726205
1,111 -  Crop Production,29,336 -  Transportation Equipment Manufacturing,15055,Industry Use,5591438.842539966
1,111 -  Crop Production,30,337 -  Furniture and Related Product Manufacturing,15055,Industry Use,44283.114653589866
1,111 -  Crop Production,31,339 -  Miscellaneous Manufacturing,15055,Industry Use,391721.91014959366
1,111 -  Crop Production,32,42 -  Wholesale Trade,15055,Industry Use,705447831.7791883
1,111 -  Crop Production,33,441 -  Motor Vehicle and Parts Dealers,15055,Industry Use,10102.256997258357
1,111 -  Crop Production,34,"449 -  Furniture, Home Furnishings, Electronics, and Appliance Retailers",15055,Industry Use,1722.9288609338817
1,111 -  Crop Production,35,444 -  Building Material and Garden Equipment and Supplies Dealers,15055,Industry Use,46812.14577486822
1,111 -  Crop Production,36,445 -  Food and Beverage Stores,15055,Industry Use,1694269.6477682728
1,111 -  Crop Production,37,446 -  Health and Personal Care Stores,15055,Industry Use,1059.1840789016019
1,111 -  Crop Production,38,457 -  Gasoline Stations and Fuel Dealers,15055,Industry Use,38802035.86182377
1,111 -  Crop Production,39,"458 -  Clothing, Clothing Accessories, Shoe, and Jewelry Retailers",15055,Industry Use,894.8649220370864
1,111 -  Crop Production,40,"459 -  Sporting Goods, Hobby, Musical Instrument, Book, and Miscellaneous Retailers",15055,Industry Use,2431.492553243498
1,111 -  Crop Production,41,455 -  General Merchandise Retailers,15055,Industry Use,4093182.2126580584
1,111 -  Crop Production,42,481 -  Air Transportation,15055,Industry Use,10863392.40888679
1,111 -  Crop Production,43,482 -  Rail Transportation,15055,Industry Use,13953207.56858385
1,111 -  Crop Production,44,483 -  Water Transportation,15055,Industry Use,6594734.78581171
1,111 -  Crop Production,45,484 -  Truck Transportation,15055,Industry Use,138389574.01276845
1,111 -  Crop Production,47,486 -  Pipeline Transportation,15055,Industry Use,2600228.232499316
1,111 -  Crop Production,48,487-488 -  Scenic and Sightseeing Transportation and Support Activities for Transportation,15055,Industry Use,128596.48722868296
1,111 -  Crop Production,49,492 -  Couriers and Messengers,15055,Industry Use,7522.423466462346
1,111 -  Crop Production,50,493 -  Warehousing and Storage,15055,Industry Use,23771469.361607037
1,111 -  Crop Production,51,513 -  Publishing Industries,15055,Industry Use,4879809.866086422
1,111 -  Crop Production,52,512 -  Motion Picture and Sound Recording Industries,15055,Industry Use,7689.354278657662
1,111 -  Crop Production,53,516 -  Broadcasting and Content Providers,15055,Industry Use,2188960.427132855
1,111 -  Crop Production,54,517 -  Telecommunications,15055,Industry Use,17621349.40893994
1,111 -  Crop Production,55,"518 -  Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",15055,Industry Use,203442.9780542938
1,111 -  Crop Production,56,"519 -  Web Search Portals, Libraries, Archives, and Other Information Services",15055,Industry Use,7276688.938600382
1,111 -  Crop Production,57,522 -  Credit Intermediation and Related Activities,15055,Industry Use,18407845.91729965
1,111 -  Crop Production,58,"523 -  Securities, Commodity Contracts, and Other Financial Investments and Related Activities",15055,Industry Use,6285220.43540971
1,111 -  Crop Production,59,521 -  Monetary Authorities-Central Bank,15055,Industry Use,54657661.25605318
1,111 -  Crop Production,60,524 -  Insurance Carriers and Related Activities,15055,Industry Use,198476686.49809515
1,111 -  Crop Production,62,531 -  Real Estate,15055,Industry Use,106315812.4638014
1,111 -  Crop Production,63,532 -  Rental and Leasing Services,15055,Industry Use,61398753.88526642
1,111 -  Crop Production,64,533 -  Lessors of Nonfinancial Intangible Assets (except Copyrighted Works),15055,Industry Use,6593814.8193123
1,111 -  Crop Production,65,"541 -  Professional, Scientific, and Technical Services",15055,Industry Use,44802511.492149904
1,111 -  Crop Production,67,561 -  Administrative and Support Services,15055,Industry Use,29947682.045727063
1,111 -  Crop Production,68,562 -  Waste Management and Remediation Services,15055,Industry Use,5063848.85243973
1,111 -  Crop Production,69,611 -  Educational Services,15055,Industry Use,6855.174298637454
1,111 -  Crop Production,74,"711 -  Performing Arts, Spectator Sports, and Related Industries",15055,Industry Use,1566289.6644770217
1,111 -  Crop Production,75,"712 -  Museums, Historical Sites, and Similar Institutions",15055,Industry Use,48.52546511825347
1,111 -  Crop Production,76,"713 -  Amusement, Gambling, and Recreation Industries",15055,Industry Use,245530.00982539804
1,111 -  Crop Production,77,721 -  Accommodation,15055,Industry Use,8.619848441011387
1,111 -  Crop Production,78,722 -  Food Services and Drinking Places,15055,Industry Use,11386716.697644213
1,111 -  Crop Production,79,811 -  Repair and Maintenance,15055,Industry Use,5992427.677718171
1,111 -  Crop Production,80,812 -  Personal and Laundry Services,15055,Industry Use,408.425099782319
1,111 -  Crop Production,81,"813 -  Religious, Grantmaking, Civic, Professional, and Similar Organizations",15055,Industry Use,988183.3099882248
1,111 -  Crop Production,83,9A -  Government Enterprises,15055,Industry Use,60650255.89789811
1,111 -  Crop Production,86,Vegetable and melon farming,15055,Industry Use,7410753.399187961
1,111 -  Crop Production,87,Fruit farming,15055,Industry Use,5704749.292700342
1,111 -  Crop Production,5001,Employee Compensation,15053,Factor Receipts,4360937256.758324
1,111 -  Crop Production,6001,Proprietor Income,15053,Factor Receipts,2959340353.314987
1,111 -  Crop Production,7001,Other Property Type Income,15053,Factor Receipts,5831220752.50723
1,111 -  Crop Production,8001,Tax on Production and Imports,15053,Factor Receipts,269585942.81386006
1,111 -  Crop Production,10001,Households LT15k,15055,Industry Use,6560.969690270714
1,111 -  Crop Production,10002,Households 15-30k,15055,Industry Use,8640.055236170256
1,111 -  Crop Production,10003,Households 30-40k,15055,Industry Use,7692.56998815465
1,111 -  Crop Production,10004,Households 40-50k,15055,Industry Use,5939.589014119991
1,111 -  Crop Production,10005,Households 50-70k,15055,Industry Use,13255.802941278213
1,111 -  Crop Production,10006,Households 70-100k,15055,Industry Use,45274.22664472197
1,111 -  Crop Production,10007,Households 100-150k,15055,Industry Use,80064.58595922364
1,111 -  Crop Production,10008,Households 150-200k,15055,Industry Use,91587.28532026595
1,111 -  Crop Production,10009,Households GT200k,15055,Industry Use,231740.02642877708
1,111 -  Crop Production,11001,Federal Government NonDefense,15055,Industry Use,1781144.7473840162
1,111 -  Crop Production,11003,Federal Government Investment,15055,Industry Use,18059.61737161663
1,111 -  Crop Production,12001,State/Local Govt Other,15055,Industry Use,123032368.95938571
1,111 -  Crop Production,12002,State/Local Govt Education,15055,Industry Use,1664.083782885878
1,111 -  Crop Production,12004,State/Local Govt Investment,15055,Industry Use,91351.5000412387
1,111 -  Crop Production,14001,Capital,15055,Industry Use,120782.85959789641
1,111 -  Crop Production,14002,Inventory Additions/Deletions,15055,Industry Use,17539140.33844448
1,111 -  Crop Production,25001,Foreign Trade,15051,Commodity Trade,498519653.46661747
1,111 -  Crop Production,28001,Domestic Trade,15051,Commodity Trade,1335568281.4178882
2,112 -  Animal Production and Aquaculture,1,111 -  Crop Production,15055,Industry Use,338766849.08129615
2,112 -  Animal Production and Aquaculture,2,112 -  Animal Production and Aquaculture,15055,Industry Use,2276168496.207272
2,112 -  Animal Production and Aquaculture,3,113 -  Forestry and Logging,15055,Industry Use,25724.501224816806
2,112 -  Animal Production and Aquaculture,5,115 -  Support Activities for Agriculture and Forestry,15055,Industry Use,415039569.2833857
2,112 -  Animal Production and Aquaculture,6,211 -  Oil and Gas Extraction,15055,Industry Use,3992392.5992723
2,112 -  Animal Production and Aquaculture,7,212 -  Mining (except Oil and Gas),15055,Industry Use,7329170.791858756
2,112 -  Animal Production and Aquaculture,8,213 -  Support Activities for Mining,15055,Industry Use,13529.359897634604
2,112 -  Animal Production and Aquaculture,9,221 -  Utilities,15055,Industry Use,107550434.4835359
2,112 -  Animal Production and Aquaculture,10,23 -  Construction,15055,Industry Use,19524970.82599391
2,112 -  Animal Production and Aquaculture,11,311 -  Food Manufacturing,15055,Industry Use,1560303443.4695728
2,112 -  Animal Production and Aquaculture,12,312 -  Beverage and Tobacco Product Manufacturing,15055,Industry Use,37303337.820707835
2,112 -  Animal Production and Aquaculture,13,313 -  Textile Mills,15055,Industry Use,51915.48303052711
2,112 -  Animal Production and Aquaculture,14,314 -  Textile Product Mills,15055,Industry Use,151013.48134328244
2,112 -  Animal Production and Aquaculture,15,315 -  Apparel Manufacturing,15055,Industry Use,2791.0911544635874
2,112 -  Animal Production and Aquaculture,16,316 -  Leather and Allied Product Manufacturing,15055,Industry Use,259382.24679411255
2,112 -  Animal Production and Aquaculture,17,321 -  Wood Product Manufacturing,15055,Industry Use,965615.673136807
2,112 -  Animal Production and Aquaculture,18,322 -  Paper Manufacturing,15055,Industry Use,308912.7158929318
2,112 -  Animal Production and Aquaculture,19,323 -  Printing and Related Support Activities,15055,Industry Use,981673.8629899408
2,112 -  Animal Production and Aquaculture,20,324 -  Petroleum and Coal Products Manufacturing,15055,Industry Use,288779305.54212826
2,112 -  Animal Production and Aquaculture,21,325 -  Chemical Manufacturing,15055,Industry Use,117749729.89841866
2,112 -  Animal Production and Aquaculture,22,326 -  Plastics and Rubber Products Manufacturing,15055,Industry Use,18205542.49729692
2,112 -  Animal Production and Aquaculture,23,327 -  Nonmetallic Mineral Product Manufacturing,15055,Industry Use,167583.2780452898
2,112 -  Animal Production and Aquaculture,24,331 -  Primary Metal Manufacturing,15055,Industry Use,847865.5354549433
2,112 -  Animal Production and Aquaculture,25,332 -  Fabricated Metal Product Manufacturing,15055,Industry Use,55443937.5745231
2,112 -  Animal Production and Aquaculture,26,333 -  Machinery Manufacturing,15055,Industry Use,4750820.716835527
2,112 -  Animal Production and Aquaculture,27,334 -  Computer and Electronic Product Manufacturing,15055,Industry Use,777826.1829488184
2,112 -  Animal Production and Aquaculture,28,"335 -  Electrical Equipment, Appliance, and Component Manufacturing",15055,Industry Use,19837523.17811083
2,112 -  Animal Production and Aquaculture,29,336 -  Transportation Equipment Manufacturing,15055,Industry Use,17485267.961208932
2,112 -  Animal Production and Aquaculture,30,337 -  Furniture and Related Product Manufacturing,15055,Industry Use,33248.29838993569
2,112 -  Animal Production and Aquaculture,31,339 -  Miscellaneous Manufacturing,15055,Industry Use,1674937.4479319106
2,112 -  Animal Production and Aquaculture,32,42 -  Wholesale Trade,15055,Industry Use,2000647538.1607282
2,112 -  Animal Production and Aquaculture,33,441 -  Motor Vehicle and Parts Dealers,15055,Industry Use,589901.7093138526
2,112 -  Animal Production and Aquaculture,34,"449 -  Furniture, Home Furnishings, Electronics, and Appliance Retailers",15055,Industry Use,5974.660212545044
2,112 -  Animal Production and Aquaculture,35,444 -  Building Material and Garden Equipment and Supplies Dealers,15055,Industry Use,366230.9556437283
2,112 -  Animal Production and Aquaculture,36,445 -  Food and Beverage Stores,15055,Industry Use,1396618.4534160518
2,112 -  Animal Production and Aquaculture,37,446 -  Health and Personal Care Stores,15055,Industry Use,1486.6785622839484
2,112 -  Animal Production and Aquaculture,38,457 -  Gasoline Stations and Fuel Dealers,15055,Industry Use,30496043.222571418
2,112 -  Animal Production and Aquaculture,39,"458 -  Clothing, Clothing Accessories, Shoe, and Jewelry Retailers",15055,Industry Use,1256.038985321667
2,112 -  Animal Production and Aquaculture,40,"459 -  Sporting Goods, Hobby, Musical Instrument, Book, and Miscellaneous Retailers",15055,Industry Use,8426.384865405054
2,112 -  Animal Production and Aquaculture,41,455 -  General Merchandise Retailers,15055,Industry Use,3266784.475557866
2,112 -  Animal Production and Aquaculture,42,481 -  Air Transportation,15055,Industry Use,4265469.79039614
2,112 -  Animal Production and Aquaculture,43,482 -  Rail Transportation,15055,Industry Use,41519925.58136095
2,112 -  Animal Production and Aquaculture,44,483 -  Water Transportation,15055,Industry Use,12214997.766995821
2,112 -  Animal Production and Aquaculture,45,484 -  Truck Transportation,15055,Industry Use,419697404.4553375
2,112 -  Animal Production and Aquaculture,47,486 -  Pipeline Transportation,15055,Industry Use,1541379.6296066637
2,112 -  Animal Production and Aquaculture,48,487-488 -  Scenic and Sightseeing Transportation and Support Activities for Transportation,15055,Industry Use,386298.37425476505
2,112 -  Animal Production and Aquaculture,49,492 -  Couriers and Messengers,15055,Industry Use,22820.266523023583
2,112 -  Animal Production and Aquaculture,50,493 -  Warehousing and Storage,15055,Industry Use,14060116.706717784
2,112 -  Animal Production and Aquaculture,51,513 -  Publishing Industries,15055,Industry Use,4331865.637263206
2,112 -  Animal Production and Aquaculture,52,512 -  Motion Picture and Sound Recording Industries,15055,Industry Use,22709.32256867544
2,112 -  Animal Production and Aquaculture,53,516 -  Broadcasting and Content Providers,15055,Industry Use,6450955.767079149
2,112 -  Animal Production and Aquaculture,54,517 -  Telecommunications,15055,Industry Use,37239664.99691961
2,112 -  Animal Production and Aquaculture,55,"518 -  Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",15055,Industry Use,241000.87170736137
2,112 -  Animal Production and Aquaculture,56,"519 -  Web Search Portals, Libraries, Archives, and Other Information Services",15055,Industry Use,21046068.510215644
2,112 -  Animal Production and Aquaculture,57,522 -  Credit Intermediation and Related Activities,15055,Industry Use,16969863.24525461
2,112 -  Animal Production and Aquaculture,58,"523 -  Securities, Commodity Contracts, and Other Financial Investments and Related Activities",15055,Industry Use,13083167.83159774
2,112 -  Animal Production and Aquaculture,59,521 -  Monetary Authorities-Central Bank,15055,Industry Use,69641366.55443527
2,112 -  Animal Production and Aquaculture,60,524 -  Insurance Carriers and Related Activities,15055,Industry Use,66637623.79372453
2,112 -  Animal Production and Aquaculture,62,531 -  Real Estate,15055,Industry Use,174851969.3196723
2,112 -  Animal Production and Aquaculture,63,532 -  Rental and Leasing Services,15055,Industry Use,62614195.905689895
2,112 -  Animal Production and Aquaculture,64,533 -  Lessors of Nonfinancial Intangible Assets (except Copyrighted Works),15055,Industry Use,2724.230865887149
2,112 -  Animal Production and Aquaculture,65,"541 -  Professional, Scientific, and Technical Services",15055,Industry Use,131763629.67114784
2,112 -  Animal Production and Aquaculture,67,561 -  Administrative and Support Services,15055,Industry Use,19392227.107229136
2,112 -  Animal Production and Aquaculture,68,562 -  Waste Management and Remediation Services,15055,Industry Use,11835785.000198143
2,112 -  Animal Production and Aquaculture,74,"711 -  Performing Arts, Spectator Sports, and Related Industries",15055,Industry Use,5847183.918516044
2,112 -  Animal Production and Aquaculture,75,"712 -  Museums, Historical Sites, and Similar Institutions",15055,Industry Use,181.15251968587924
2,112 -  Animal Production and Aquaculture,76,"713 -  Amusement, Gambling, and Recreation Industries",15055,Industry Use,773922.2730643544
2,112 -  Animal Production and Aquaculture,77,721 -  Accommodation,15055,Industry Use,38227.31043207015
2,112 -  Animal Production and Aquaculture,78,722 -  Food Services and Drinking Places,15055,Industry Use,22504789.777315952
2,112 -  Animal Production and Aquaculture,79,811 -  Repair and Maintenance,15055,Industry Use,12736192.916870803
2,112 -  Animal Production and Aquaculture,80,812 -  Personal and Laundry Services,15055,Industry Use,671.7041738344775
2,112 -  Animal Production and Aquaculture,81,"813 -  Religious, Grantmaking, Civic, Professional, and Similar Organizations",15055,Industry Use,4442810.354254571
2,112 -  Animal Production and Aquaculture,83,9A -  Government Enterprises,15055,Industry Use,48110477.65105775
2,112 -  Animal Production and Aquaculture,86,Vegetable and melon farming,15055,Industry Use,2872211.695816082
2,112 -  Animal Production and Aquaculture,87,Fruit farming,15055,Industry Use,2211005.9380655237
2,112 -  Animal Production and Aquaculture,5001,Employee Compensation,15053,Factor Receipts,926400514.4887338
2,112 -  Animal Production and Aquaculture,6001,Proprietor Income,15053,Factor Receipts,747324662.9504902
2,112 -  Animal Production and Aquaculture,7001,Other Property Type Income,15053,Factor Receipts,3077777910.3869777
2,112 -  Animal Production and Aquaculture,8001,Tax on Production and Imports,15053,Factor Receipts,77448873.7747855
2,112 -  Animal Production and Aquaculture,10001,Households LT15k,15055,Industry Use,91407.17872230645
2,112 -  Animal Production and Aquaculture,10002,Households 15-30k,15055,Industry Use,120372.91900835281
2,112 -  Animal Production and Aquaculture,10003,Households 30-40k,15055,Industry Use,107172.5907808743
2,112 -  Animal Production and Aquaculture,10004,Households 40-50k,15055,Industry Use,82750.12691429038
2,112 -  Animal Production and Aquaculture,10005,Households 50-70k,15055,Industry Use,184679.33945158913
2,112 -  Animal Production and Aquaculture,10006,Households 70-100k,15055,Industry Use,630758.7935614369
2,112 -  Animal Production and Aquaculture,10007,Households 100-150k,15055,Industry Use,1115456.7485588023
2,112 -  Animal Production and Aquaculture,10008,Households 150-200k,15055,Industry Use,1275990.5552337638
2,112 -  Animal Production and Aquaculture,10009,Households GT200k,15055,Industry Use,3228593.1825442133
2,112 -  Animal Production and Aquaculture,11001,Federal Government NonDefense,15055,Industry Use,1950537.7552290806
2,112 -  Animal Production and Aquaculture,11003,Federal Government Investment,15055,Industry Use,251605.89831588118
2,112 -  Animal Production and Aquaculture,12001,State/Local Govt Other,15055,Industry Use,96521752.0252998
2,112 -  Animal Production and Aquaculture,12004,State/Local Govt Investment,15055,Industry Use,1272705.6037467765
2,112 -  Animal Production and Aquaculture,14001,Capital,15055,Industry Use,1682742.1791367282
2,112 -  Animal Production and Aquaculture,14002,Inventory Additions/Deletions,15055,Industry Use,20097903.176135812
2,112 -  Animal Production and Aquaculture,25001,Foreign Trade,15051,Commodity Trade,880937236.4055032
2,112 -  Animal Production and Aquaculture,28001,Domestic Trade,15051,Commodity Trade,3557362310.9393888
