,Commodity Code,Description,Average RPC,Average RSC
1,3001,111 -  Crop Production,48.28%,33.71%
2,3002,112 -  Animal Production and Aquaculture,77.21%,80.02%
3,3003,113 -  Forestry and Logging,77.72%,51.20%
4,3004,"114 -  Fishing, Hunting and Trapping",36.57%,74.08%
5,3005,115 -  Support Activities for Agriculture and Forestry,98.20%,48.46%
6,3006,211 -  Oil and Gas Extraction,12.88%,68.25%
7,3007,212 -  Mining (except Oil and Gas),31.34%,79.55%
8,3008,213 -  Support Activities for Mining,19.80%,99.76%
9,3009,221 -  Utilities,64.17%,46.89%
10,3010,23 -  Construction,95.73%,100.00%
11,3011,311 -  Food Manufacturing,42.78%,59.36%
12,3012,312 -  Beverage and Tobacco Product Manufacturing,56.73%,52.25%
13,3013,313 -  Textile Mills,12.92%,23.43%
14,3014,314 -  Textile Product Mills,14.49%,42.44%
15,3015,315 -  Apparel Manufacturing,12.72%,28.53%
16,3016,316 -  Leather and Allied Product Manufacturing,1.69%,11.46%
17,3017,321 -  Wood Product Manufacturing,47.68%,84.56%
18,3018,322 -  Paper Manufacturing,37.31%,75.11%
19,3019,323 -  Printing and Related Support Activities,49.93%,79.61%
20,3020,324 -  Petroleum and Coal Products Manufacturing,85.85%,80.70%
21,3021,325 -  Chemical Manufacturing,25.44%,30.61%
22,3022,326 -  Plastics and Rubber Products Manufacturing,35.11%,64.86%
23,3023,327 -  Nonmetallic Mineral Product Manufacturing,61.26%,88.70%
24,3024,331 -  Primary Metal Manufacturing,20.58%,48.02%
25,3025,332 -  Fabricated Metal Product Manufacturing,45.03%,63.64%
26,3026,333 -  Machinery Manufacturing,16.67%,30.88%
27,3027,334 -  Computer and Electronic Product Manufacturing,20.32%,13.06%
28,3028,"335 -  Electrical Equipment, Appliance, and Component Manufacturing",9.41%,18.84%
29,3029,336 -  Transportation Equipment Manufacturing,32.21%,45.91%
30,3030,337 -  Furniture and Related Product Manufacturing,26.85%,48.06%
31,3031,339 -  Miscellaneous Manufacturing,22.04%,22.24%
32,3032,42 -  Wholesale Trade,97.11%,82.90%
33,3033,441 -  Motor Vehicle and Parts Dealers,91.24%,100.00%
34,3034,"449 -  Furniture, Home Furnishings, Electronics, and Appliance Retailers",99.88%,93.43%
35,3035,444 -  Building Material and Garden Equipment and Supplies Dealers,98.23%,99.69%
36,3036,445 -  Food and Beverage Stores,100.00%,81.98%
37,3037,446 -  Health and Personal Care Stores,99.52%,98.25%
38,3038,457 -  Gasoline Stations and Fuel Dealers,77.47%,99.93%
39,3039,"458 -  Clothing, Clothing Accessories, Shoe, and Jewelry Retailers",99.84%,75.01%
40,3040,"459 -  Sporting Goods, Hobby, Musical Instrument, Book, and Miscellaneous Retailers",99.04%,96.11%
41,3041,455 -  General Merchandise Retailers,96.76%,99.99%
42,3042,481 -  Air Transportation,54.15%,86.38%
43,3043,482 -  Rail Transportation,52.22%,86.59%
44,3044,483 -  Water Transportation,48.66%,77.06%
45,3045,484 -  Truck Transportation,99.88%,86.51%
46,3046,485 -  Transit and Ground Passenger Transportation,97.15%,81.83%
47,3047,486 -  Pipeline Transportation,24.93%,84.21%
48,3048,487-488 -  Scenic and Sightseeing Transportation and Support Activities for Transportation,99.98%,72.61%
49,3049,492 -  Couriers and Messengers,99.90%,76.26%
50,3050,493 -  Warehousing and Storage,99.61%,76.62%
51,3051,513 -  Publishing Industries,92.45%,65.83%
52,3052,512 -  Motion Picture and Sound Recording Industries,91.09%,38.31%
53,3053,516 -  Broadcasting and Content Providers,100.00%,47.74%
54,3054,517 -  Telecommunications,74.79%,97.95%
55,3055,"518 -  Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",99.87%,67.28%
56,3056,"519 -  Web Search Portals, Libraries, Archives, and Other Information Services",99.06%,37.78%
57,3057,522 -  Credit Intermediation and Related Activities,84.12%,94.47%
58,3058,"523 -  Securities, Commodity Contracts, and Other Financial Investments and Related Activities",89.25%,89.83%
59,3059,521 -  Monetary Authorities-Central Bank,56.24%,96.70%
60,3060,524 -  Insurance Carriers and Related Activities,58.66%,98.66%
61,3061,"525 -  Funds, Trusts, and Other Financial Vehicles",87.53%,99.99%
62,3062,531 -  Real Estate,94.92%,92.39%
63,3063,532 -  Rental and Leasing Services,75.92%,97.97%
64,3064,533 -  Lessors of Nonfinancial Intangible Assets (except Copyrighted Works),99.74%,56.88%
65,3065,"541 -  Professional, Scientific, and Technical Services",90.90%,58.21%
66,3066,551 -  Management of Companies and Enterprises,98.88%,80.08%
67,3067,561 -  Administrative and Support Services,93.02%,93.26%
68,3068,562 -  Waste Management and Remediation Services,99.74%,93.25%
69,3069,611 -  Educational Services,85.97%,99.51%
70,3070,621 -  Ambulatory Health Care Services,73.61%,81.32%
71,3071,622 -  Hospitals,87.97%,99.77%
72,3072,623 -  Nursing and Residential Care Facilities,95.14%,95.82%
73,3073,624 -  Social Assistance,99.15%,71.43%
74,3074,"711 -  Performing Arts, Spectator Sports, and Related Industries",82.30%,71.11%
75,3075,"712 -  Museums, Historical Sites, and Similar Institutions",79.34%,99.99%
76,3076,"713 -  Amusement, Gambling, and Recreation Industries",74.03%,94.99%
77,3077,721 -  Accommodation,18.88%,27.91%
78,3078,722 -  Food Services and Drinking Places,92.45%,99.81%
79,3079,811 -  Repair and Maintenance,89.36%,99.57%
80,3080,812 -  Personal and Laundry Services,86.00%,99.80%
81,3081,"813 -  Religious, Grantmaking, Civic, Professional, and Similar Organizations",82.60%,99.12%
82,3082,814 -  Private Households,100.00%,59.04%
83,3083,9A -  Government Enterprises,90.40%,71.04%
84,3084,93 -  Non-NAICS,14.00%,21.15%
85,3085,9B -  Administrative Government,100.00%,100.00%
86,3086,Vegetable and melon farming,78.33%,26.99%
87,3087,Fruit farming,53.39%,24.21%
