,Industry Code,Description,Total Output,Wage and Salary Employment,Employee Compensation,Proprietor Employment,Proprietor Income,Other Property Income,Taxes on Production and Imports Net of Subsidies
1,1,111 -  Crop Production,"$19,263,875,456.19","70,042.83","$4,360,937,256.76","39,386.72","$2,959,340,353.31","$5,831,220,752.51","$269,585,942.81"
2,2,112 -  Animal Production and Aquaculture,"$17,956,509,913.88","28,405.04","$926,400,514.49","13,021.31","$747,324,662.95","$3,077,777,910.39","$77,448,873.77"
3,3,113 -  Forestry and Logging,"$806,638,561.05","3,541.33","$395,556,503.46","1,827.32","$236,825,290.37","$69,348,345.26","$21,601,406.86"
4,4,"114 -  Fishing, Hunting and Trapping","$317,108,053.39",545.58,"$56,623,219.56","4,446.35","$105,031,784.86","$89,377,942.16","$63,411,010.63"
5,5,115 -  Support Activities for Agriculture and Forestry,"$14,764,520,906.61","245,075.66","$13,393,490,224.65","16,010.01","$769,073,448.28","$(2,779,702.51)","$587,600,810.97"
6,6,211 -  Oil and Gas Extraction,"$11,974,432,686.75","3,109.11","$1,041,813,620.68","14,667.41","$442,076,682.42","$2,269,279,929.71","$1,295,361,934.16"
7,7,212 -  Mining (except Oil and Gas),"$3,872,593,535.01","5,353.68","$706,880,637.18","2,049.11","$313,230,583.03","$1,316,637,131.40","$198,818,813.25"
8,8,213 -  Support Activities for Mining,"$2,623,338,971.70","6,935.36","$958,042,707.42","2,278.70","$46,877,347.59","$578,994,931.93","$148,601,213.53"
9,9,221 -  Utilities,"$93,106,158,327.40","67,084.79","$14,831,849,858.75","5,880.50","$3,172,634,787.60","$35,360,047,664.38","$11,040,996,312.75"
10,10,23 -  Construction,"$294,175,168,578.53","977,750.63","$104,784,544,751.37","339,251.10","$22,005,385,036.73","$39,603,697,000.74","$3,402,908,473.17"
11,11,311 -  Food Manufacturing,"$113,977,050,808.44","184,786.51","$14,236,526,390.80","12,933.01","$930,612,887.72","$8,019,892,715.37","$1,629,606,267.02"
12,12,312 -  Beverage and Tobacco Product Manufacturing,"$32,007,511,020.04","65,507.21","$5,992,852,926.47","4,041.90","$202,078,043.93","$3,983,161,911.92","$1,976,280,236.66"
13,13,313 -  Textile Mills,"$1,669,854,172.57","4,488.35","$337,730,998.10",523.40,"$13,361,947.87","$9,362,343.65","$34,030,310.97"
14,14,314 -  Textile Product Mills,"$1,947,430,790.12","7,125.70","$537,222,538.73",967.36,"$52,265,514.85","$42,742,358.63","$37,175,243.23"
15,15,315 -  Apparel Manufacturing,"$6,015,238,582.99","23,987.44","$1,898,556,183.53","7,961.12","$515,293,944.81","$1,118,274,416.88","$86,052,294.94"
16,16,316 -  Leather and Allied Product Manufacturing,"$766,758,269.79","2,695.11","$268,166,389.93",481.51,"$37,618,985.48","$33,705,051.57","$12,594,988.46"
17,17,321 -  Wood Product Manufacturing,"$10,922,736,107.47","25,064.74","$2,022,780,273.55","3,362.47","$44,863,956.62","$1,271,533,497.06","$77,613,831.17"
18,18,322 -  Paper Manufacturing,"$13,242,788,026.94","19,550.99","$2,028,157,200.01",348.64,"$102,098,137.36","$1,278,041,652.79","$149,588,029.49"
19,19,323 -  Printing and Related Support Activities,"$8,348,959,469.36","31,062.69","$2,472,209,142.74","8,615.90","$199,192,248.52","$782,674,291.46","$101,651,006.51"
20,20,324 -  Petroleum and Coal Products Manufacturing,"$96,554,838,599.75","11,082.16","$2,924,773,205.26",903.15,"$125,088,495.95","$14,416,262,010.08","$732,623,783.34"
21,21,325 -  Chemical Manufacturing,"$100,122,940,391.87","68,283.95","$11,678,077,986.04","4,736.23","$254,173,811.26","$42,506,077,637.50","$1,985,606,474.67"
22,22,326 -  Plastics and Rubber Products Manufacturing,"$21,297,642,224.80","40,825.85","$4,198,446,394.95","1,945.33","$146,676,705.28","$2,343,280,312.42","$187,205,585.72"
23,23,327 -  Nonmetallic Mineral Product Manufacturing,"$15,275,431,905.96","30,738.95","$3,093,100,421.50","2,773.42","$123,327,194.80","$2,088,547,041.43","$182,310,056.60"
24,24,331 -  Primary Metal Manufacturing,"$12,096,036,433.61","13,740.18","$1,511,751,707.40",432.12,"$486,275,067.64","$470,915,898.89","$142,487,930.62"
25,25,332 -  Fabricated Metal Product Manufacturing,"$42,930,878,379.93","117,362.51","$11,040,613,313.32","6,869.24","$420,798,722.86","$2,696,324,398.33","$428,283,023.75"
26,26,333 -  Machinery Manufacturing,"$37,430,328,269.18","67,992.81","$10,447,118,566.21","4,607.66","$165,095,376.93","$5,028,189,019.60","$410,068,942.48"
27,27,334 -  Computer and Electronic Product Manufacturing,"$193,518,162,510.50","193,812.81","$54,466,841,500.27","2,537.76","$(1,728,131.85)","$40,907,577,166.65","$2,963,662,695.01"
28,28,"335 -  Electrical Equipment, Appliance, and Component Manufacturing","$19,501,465,924.68","30,708.43","$4,521,673,681.68","5,368.70","$96,729,823.33","$1,863,515,002.14","$111,537,704.22"
29,29,336 -  Transportation Equipment Manufacturing,"$119,994,660,462.95","147,341.24","$22,799,971,418.45","1,868.05","$184,921,596.80","$9,834,950,907.16","$1,014,038,499.63"
30,30,337 -  Furniture and Related Product Manufacturing,"$8,434,280,837.61","26,984.39","$2,196,966,014.17","3,183.12","$102,445,841.28","$785,061,153.29","$54,527,816.09"
31,31,339 -  Miscellaneous Manufacturing,"$33,468,656,921.63","81,285.86","$11,491,053,437.24","14,280.67","$344,344,561.44","$4,942,716,447.38","$472,837,602.50"
